snapshot,event_id,commence,home,away,bookmaker,market,outcome,point,price,last_update
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,winamax_fr,h2h,Lecce,,2.65,2026-09-13T10:53:52Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,winamax_fr,h2h,Monza,,2.6,2026-09-13T10:53:52Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,winamax_fr,h2h,Draw,,3.05,2026-09-13T10:53:52Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,codere_it,h2h,Lecce,,2.8,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,codere_it,h2h,Monza,,2.75,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,codere_it,h2h,Draw,,3.05,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,codere_it,totals,Over,2.5,2.13,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,codere_it,totals,Under,2.5,1.61,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betfred_uk,h2h,Lecce,,2.8,2026-09-13T10:54:13Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betfred_uk,h2h,Monza,,2.62,2026-09-13T10:54:13Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betfred_uk,h2h,Draw,,3.1,2026-09-13T10:54:13Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,leovegas,h2h,Lecce,,2.7,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,leovegas,h2h,Monza,,2.7,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,leovegas,h2h,Draw,,3.0,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,leovegas,totals,Over,2.5,2.18,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,leovegas,totals,Under,2.5,1.64,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,unibet_uk,h2h,Lecce,,2.75,2026-09-13T10:53:29Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,unibet_uk,h2h,Monza,,2.75,2026-09-13T10:53:29Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,unibet_uk,h2h,Draw,,3.0,2026-09-13T10:53:29Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betclic_fr,h2h,Lecce,,2.75,2026-09-13T10:52:40Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betclic_fr,h2h,Monza,,2.67,2026-09-13T10:52:40Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betclic_fr,h2h,Draw,,3.02,2026-09-13T10:52:40Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,tipico_de,h2h,Lecce,,2.65,2026-09-13T10:54:14Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,tipico_de,h2h,Monza,,2.85,2026-09-13T10:54:14Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,tipico_de,h2h,Draw,,3.0,2026-09-13T10:54:14Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,tipico_de,totals,Over,2.5,2.15,2026-09-13T10:54:14Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,tipico_de,totals,Under,2.5,1.67,2026-09-13T10:54:14Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,unibet_fr,h2h,Lecce,,2.7,2026-09-13T10:54:13Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,unibet_fr,h2h,Monza,,2.6,2026-09-13T10:54:13Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,unibet_fr,h2h,Draw,,2.9,2026-09-13T10:54:13Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,winamax_de,h2h,Lecce,,2.7,2026-09-13T10:52:28Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,winamax_de,h2h,Monza,,2.65,2026-09-13T10:52:28Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,winamax_de,h2h,Draw,,3.1,2026-09-13T10:52:28Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,skybet,h2h,Lecce,,2.7,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,skybet,h2h,Monza,,2.7,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,skybet,h2h,Draw,,3.1,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,paddypower,h2h,Lecce,,2.7,2026-09-13T10:53:09Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,paddypower,h2h,Monza,,2.7,2026-09-13T10:53:09Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,paddypower,h2h,Draw,,3.0,2026-09-13T10:53:09Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,onexbet,h2h,Lecce,,2.88,2026-09-13T10:54:12Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,onexbet,h2h,Monza,,2.86,2026-09-13T10:54:12Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,onexbet,h2h,Draw,,3.13,2026-09-13T10:54:12Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,onexbet,totals,Over,2.5,2.35,2026-09-13T10:54:12Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,onexbet,totals,Under,2.5,1.7,2026-09-13T10:54:12Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,marathonbet,h2h,Lecce,,2.82,2026-09-13T10:53:53Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,marathonbet,h2h,Monza,,2.8,2026-09-13T10:53:53Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,marathonbet,h2h,Draw,,3.06,2026-09-13T10:53:53Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,sport888,h2h,Lecce,,2.75,2026-09-13T10:53:28Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,sport888,h2h,Monza,,2.62,2026-09-13T10:53:28Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,sport888,h2h,Draw,,2.9,2026-09-13T10:53:28Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,ladbrokes_uk,h2h,Lecce,,2.7,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,ladbrokes_uk,h2h,Monza,,2.75,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,ladbrokes_uk,h2h,Draw,,3.1,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,coral,h2h,Lecce,,2.7,2026-09-13T10:53:29Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,coral,h2h,Monza,,2.75,2026-09-13T10:53:29Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,coral,h2h,Draw,,3.1,2026-09-13T10:53:29Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,williamhill,h2h,Lecce,,2.75,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,williamhill,h2h,Monza,,2.62,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,williamhill,h2h,Draw,,2.9,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,williamhill,totals,Over,2.5,2.25,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,williamhill,totals,Under,2.5,1.62,2026-09-13T10:53:51Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betway,h2h,Lecce,,2.75,2026-09-13T10:53:52Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betway,h2h,Monza,,2.7,2026-09-13T10:53:52Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betway,h2h,Draw,,3.0,2026-09-13T10:53:52Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,smarkets,h2h,Lecce,,2.92,2026-09-13T10:54:13Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,smarkets,h2h,Monza,,2.9,2026-09-13T10:54:13Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,smarkets,h2h,Draw,,3.15,2026-09-13T10:54:13Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,smarkets,h2h_lay,Lecce,,2.96,2026-09-13T10:54:13Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,smarkets,h2h_lay,Monza,,2.8,2026-09-13T10:54:13Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,smarkets,h2h_lay,Draw,,3.2,2026-09-13T10:54:13Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,pinnacle,h2h,Lecce,,2.86,2026-09-13T10:54:12Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,pinnacle,h2h,Monza,,2.85,2026-09-13T10:54:12Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,pinnacle,h2h,Draw,,3.06,2026-09-13T10:54:12Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betfair_ex_uk,h2h,Lecce,,2.94,2026-09-13T10:54:15Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betfair_ex_uk,h2h,Monza,,2.9,2026-09-13T10:54:15Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betfair_ex_uk,h2h,Draw,,3.15,2026-09-13T10:54:15Z
2026-09-13T1054,e66df35062d3cc1c59258406374c2e76,2026-09-13T13:00:00Z,Lecce,Monza,betfair_ex_uk,h2h_lay,Lecce,,2.96,2026-09-13T10:54:15Z
